"","accommodates","bedrooms","beds","city","experience_stay","host_listings_count","host_has_profile_pic","listing_price","minimum_nights","maximum_nights","number_of_reviews","review_scores_rating","instant_bookable","private_stay"
"80",5,2,3,"Oakland",0,2,"t",120,1,1125,615,4.78,"t",0
"81",2,1,1,"Oakland",0,1,"t",150,10,60,29,5,"f",1
"82",1,1,1,"Oakland",0,3,"t",62,2,270,89,4.91,"f",0
"83",2,1,1,"Oakland",0,1,"t",55,20,1125,67,4.7,"f",1
"84",8,2,2,"Oakland",0,7,"t",166,2,1125,228,4.85,"f",0
"85",6,3,3,"Oakland",0,1,"t",325,7,28,58,4.82,"f",1
"86",2,1,2,"Oakland",0,27,"t",125,30,1125,20,4.83,"f",1
"87",2,1,1,"Oakland",0,16,"t",89,2,60,241,4.8,"f",0
"88",2,1,1,"Oakland",0,2,"t",138,1,1125,221,4.81,"f",1
"89",2,1,1,"Oakland",0,1,"t",47,5,1125,63,4.8,"f",0
"90",2,1,1,"Oakland",0,4,"t",77,2,14,647,4.86,"f",0
"91",1,1,1,"Oakland",0,1,"t",63,5,1125,412,4.9,"f",0
"92",6,3,3,"Oakland",0,2,"t",223,2,1125,35,4.71,"f",1
"93",2,1,1,"Oakland",0,8,"t",165,3,1125,20,4.8,"f",0
"94",4,2,2,"Oakland",0,1,"t",229,3,52,102,4.94,"f",0
"95",1,1,1,"Oakland",0,1,"t",66,3,30,185,4.91,"f",0
"96",1,1,1,"Oakland",0,3,"t",77,30,90,30,4.93,"f",0
"97",2,1,1,"Oakland",0,1,"t",65,2,1125,243,4.99,"f",0
"98",4,1,1,"Oakland",0,1,"t",200,3,1125,133,4.75,"f",1
"99",1,1,1,"Oakland",0,3,"t",68,30,180,79,4.87,"f",0
"100",2,1,1,"Oakland",0,1,"t",60,3,29,533,4.9,"f",1
"101",6,3,3,"Oakland",0,2,"t",275,4,20,87,4.74,"f",1
"102",2,1,1,"Oakland",0,1,"t",74,2,1125,231,4.84,"f",0
"103",1,1,1,"Oakland",0,1,"t",66,31,365,58,4.78,"f",1
"104",2,1,1,"Oakland",0,1,"t",145,10,90,116,4.93,"f",0
"105",2,1,1,"Oakland",0,1,"t",92,5,731,73,4.76,"f",1
"106",4,2,3,"Oakland",0,2,"t",130,3,28,5,4.6,"f",1
"107",2,1,1,"Oakland",0,1,"t",196,2,21,412,4.96,"f",1
